DEPTH;CAL;DT;GR;NPHI;ILD;RHOB;SP;porosite;K
1155.50000;9.59600;122.93800;75.48800;0.42700;1.24800;2.21000;1.55300;0.184383248807261;1209.69081644669
1155.54504;9.60428;123.32520;75.44446;0.43024;1.25502;2.20946;1.55858;0.189945898506458;1264.97890709706
1155.59998;9.61438;123.79688;75.39124;0.43420;1.26360;2.20880;1.56538;0.191139783573889;1277.05935220019
1155.75000;9.64200;125.08400;75.24600;0.44500;1.28700;2.20700;1.58400;0.193404330706547;1300.18126581408
1155.76721;9.64200;125.20605;75.18262;0.44459;1.28817;2.20762;1.60242;0.205868175728559;1432.3161819941
1155.80005;9.64200;125.43848;75.06152;0.44380;1.29041;2.20880;1.63782;0.206761338534077;1442.10171262341
1155.98633;9.64200;126.75830;74.37549;0.43933;1.30307;2.21551;1.83826;0.213266130735953;1514.64666989311
1156.00000;9.64200;126.85500;74.32500;0.43900;1.30400;2.21600;1.85300;0.213423550892523;1516.43014890307
1156.20007;9.65321;125.99463;73.75342;0.42699;1.31200;2.22080;1.95789;0.214779882434405;1531.85107691952
1156.20508;9.65348;125.97314;73.73901;0.42670;1.31220;2.22092;1.96045;0.20871777710041;1463.68463672401
1156.25000;9.65600;125.78000;73.61100;0.42400;1.31400;2.22200;1.98400;0.207665837498558;1452.0546321673
1156.40002;9.65780;124.18066;73.86658;0.42280;1.33319;2.22140;2.04224;0.204674052243686;1419.29933507306
1156.42603;9.65811;123.90332;73.91089;0.42259;1.33652;2.22130;2.05231;0.197744365515421;1345.25575738761
1156.50000;9.65900;123.11400;74.03700;0.42200;1.34600;2.22100;2.08100;0.19416316729789;1307.99021651244
1156.59998;9.66821;122.34863;74.48340;0.43079;1.36798;2.22060;2.15857;0.186792752944657;1233.43768264835
1156.65002;9.67281;121.96484;74.70703;0.43520;1.37900;2.22040;2.19739;0.188253637891555;1247.98557619281
1156.75000;9.68200;121.19900;75.15300;0.44400;1.40100;2.22000;2.27500;0.1904309013655;1269.87763193952
1156.80005;9.71002;121.68164;75.16843;0.44962;1.39420;2.21359;2.27500;0.19402185419168;1306.53368083067
1156.87524;9.75214;122.40527;75.19159;0.45802;1.38396;2.20396;2.27500;0.183330994548003;1199.4172459921
1157.00000;9.82200;123.60700;75.23000;0.47200;1.36700;2.18800;2.27500;0.186782390731776;1233.33494139334
1157.09753;9.92578;125.58203;75.25967;0.48058;1.36505;2.18371;2.43384;0.188454794505654;1249.99756861189
1157.20007;10.03479;127.65820;75.29083;0.48960;1.36300;2.17920;2.60071;0.19699851960903;1337.43828044715
1157.25000;10.08800;128.66901;75.30600;0.49400;1.36200;2.17700;2.68200;0.195108706014103;1317.76304242022
1157.31519;10.08800;128.95068;74.87549;0.49478;1.34503;2.17491;2.70337;0.206790001925798;1442.41626126744
